"Variable","Noise","beta_S","beta_P","mean","error"
"Error",1,4.5,1,0.2951,0.00456110505995387
"Error",1,4.5,1.5,0.2895,0.0045355299693873
"Error",1,4.5,2,0.2797,0.00448874212676425
"Error",1,4.5,2.5,0.2584,0.00437776889363162
"Error",1,4.5,3,0.2399,0.00427043588668256
"Error",1,4.5,3.5,0.244,0.00429514200283092
"Error",1,4.5,4,0.2355,0.00424332129087084
"Error",1,4.5,4.5,0.2252,0.00417734856387427
"Error",1,4.5,5,0.2251,0.00417669049300369
"Error",1,4.5,5.5,0.2097,0.00407114829315299
"Error",1,4.5,6,0.2001,0.00400094985721841
"Error",1,4.5,6.5,0.1847,0.00388073408129196
"Error",1,4.5,7,0.1841,0.00387585103198281
"Error",1,4.5,7.5,0.1673,0.0037326216318326
"Error",1,4.5,8,0.1744,0.00379472054180529
