"Variable","Noise","switch_rate","beta_S","beta_P","mean","error"
"Error",0,0.05,1,2.5,0.3434,0.00474867339263283
"Error",0,0.05,1,3,0.3965,0.00489194931666424
"Error",0,0.05,1,3.5,0.3862,0.00486901701913982
"Error",0,0.05,1,4,0.4497,0.00497488351085678
"Error",0,0.05,1,4.5,0.4704,0.00499148029020938
"Error",0,0.05,1,5,0.4812,0.00499671419187365
"Error",0,0.05,1,5.5,0.4842,0.00499775287037838
"Error",0,0.05,1,6,0.4696,0.00499099939966944
"Error",0,0.05,1,6.5,0.4877,0.00499873681413352
"Error",0,0.05,1,7,0.5166,0.00499749352117133
"Error",0,0.05,1,7.5,0.4844,0.00499781570450348
"Error",0,0.05,1,8,0.4898,0.0049992094584565
"Error",0,0.05,1,8.5,0.5331,0.00498928134031639
"Error",0,0.05,1,9,0.4977,0.00500019711582651
"Error",0,0.05,1,9.5,0.5243,0.00499434133240155
"Error",0,0.05,1,10,0.5244,0.00499429257210965
"Error",0,0.05,1.5,1,0.2767,0.00447389232897453
"Error",0,0.05,1.5,1.5,0.2534,0.00434979724511469
"Error",0,0.05,1.5,2,0.2605,0.00438929397399616
"Error",0,0.05,1.5,2.5,0.2974,0.00457136891328781
"Error",0,0.05,1.5,3,0.3161,0.00464975709302136
"Error",0,0.05,1.5,3.5,0.3495,0.00476835912289254
"Error",0,0.05,1.5,4,0.3963,0.00489152570292442
"Error",0,0.05,1.5,4.5,0.3992,0.00489758457134365
"Error",0,0.05,1.5,5,0.4456,0.00497056683422176
"Error",0,0.05,1.5,5.5,0.4689,0.00499056806154948
"Error",0,0.05,1.5,6,0.5014,0.00500023041773307
"Error",0,0.05,1.5,6.5,0.4626,0.00498624209811619
"Error",0,0.05,1.5,7,0.5264,0.00499327520568694
"Error",0,0.05,1.5,7.5,0.5393,0.00498478041678672
"Error",0,0.05,1.5,8,0.4857,0.00499820459814527
"Error",0,0.05,1.5,8.5,0.4992,0.00500024361842744
"Error",0,0.05,1.5,9,0.4834,0.00499749352117133
"Error",0,0.05,1.5,9.5,0.5047,0.00500002910282559
"Error",0,0.05,1.5,10,0.5452,0.00497977668350517
"Error",0,0.05,2,1,0.2257,0.00418063377610106
"Error",0,0.05,2,1.5,0.2061,0.00404523366340427
